# model|lemma|kind|mirror   (mirror "-" = supporting lemma, no direct runtime mirror)
bm25.dfy|MulPos|support|-
bm25.dfy|MulNonNeg|support|-
bm25.dfy|MulPosNonNeg|support|-
bm25.dfy|MulNonNegNonNeg|support|-
bm25.dfy|DivNonNeg|support|-
bm25.dfy|DivPos|support|-
bm25.dfy|LogNonNeg|support|-
bm25.dfy|IdfNonNeg|test|tests/test_bm25_m.sh
bm25.dfy|LengthFactorPositive|support|-
bm25.dfy|DenomPositive|support|-
bm25.dfy|ValidParamsEstablished|support|-
bm25.dfy|TfNormNonNeg|test|tests/test_bm25_m.sh
bm25.dfy|TfNormMonotone|test|tests/test_bm25_m.sh
bm25.dfy|TermScoreNonNeg|test|tests/test_bm25_m.sh
bm25.dfy|MulMonotoneNonNeg|support|-
bm25.dfy|TermScoreMonotone|test|tests/test_bm25_m.sh
bm25.dfy|SumNonNeg|support|-
bm25.dfy|SumMonotone|support|-
bm25.dfy|NegReverses|support|-
bm25.dfy|TopKKeepsHighest|test|tests/test_bm25_m.sh
bytecode_bisim.dfy|ExecCodeConcat|support|-
bytecode_bisim.dfy|ExprBisim|conformance|tests/test_bytecode_conformance.sh
bytecode_bisim.dfy|StmtBisim|conformance|tests/test_bytecode_conformance.sh
bytecode_stack.dfy|NetConcat|support|-
bytecode_stack.dfy|NoUnderflowFromMonotone|support|-
bytecode_stack.dfy|ConcatNoUnderflow|support|-
bytecode_stack.dfy|SingleOpSafe|support|-
bytecode_stack.dfy|PushIsExpr|test|tests/test_vm_table.nim
bytecode_stack.dfy|BinopIsExpr|test|tests/test_vm_table.nim
bytecode_stack.dfy|SetVarIsStmt|test|tests/test_vm_table.nim
bytecode_stack.dfy|SubscriptReadIsExpr|test|tests/test_vm_table.nim
bytecode_stack.dfy|SeqIsStmt|test|tests/test_vm_table.nim
collation.dfy|SeqTrichotomy|support|-
collation.dfy|CmpInRange|test|tests/test_collation.nim
collation.dfy|CmpReflexive|test|tests/test_collation.nim
collation.dfy|CmpSkew|test|tests/test_collation.nim
collation.dfy|CmpTransitive|test|tests/test_collation.nim
data_tristate.dfy|DataExhaustive|test|tests/test_contracts.nim
data_tristate.dfy|WriteGivesValue|test|tests/test_contracts.nim
data_tristate.dfy|KillRemovesData|test|tests/test_contracts.nim
entry_term_expansion.dfy|SetOfContains|support|-
entry_term_expansion.dfy|FilterSeenGood|support|-
entry_term_expansion.dfy|ConcatNoDup|support|-
entry_term_expansion.dfy|MergeDisjoint|support|-
entry_term_expansion.dfy|MergeNoDup|test|tests/test_bm25_m.sh
entry_term_expansion.dfy|MergeDictFirst|test|tests/test_bm25_m.sh
entry_term_expansion.dfy|TruncateCapped|support|-
entry_term_expansion.dfy|MergeCapped|test|tests/test_bm25_m.sh
globals_order.dfy|TupCmpAntisymmetric|support|-
globals_order.dfy|TupCmpTransitive|support|-
globals_order.dfy|EmptyIsMin|support|-
globals_order.dfy|SuccessorIsAfter|support|-
globals_order.dfy|TupCmpReflexive|support|-
globals_order.dfy|SuccessorMinimal|test|tests/test_order_lmdb.sh
globals_order.dfy|SuccessorSkipPrefix|support|-
globals_order.dfy|SuccessorNext|test|tests/test_order_lmdb.sh
hybrid_merge.dfy|RRFPositive|test|tests/test_hybrid_rrf.nim
hybrid_merge.dfy|RecipDecreasing|support|-
hybrid_merge.dfy|RRFDecreasing|test|tests/test_hybrid_rrf.nim
hybrid_merge.dfy|CombinedNonNeg|test|tests/test_hybrid_rrf.nim
hybrid_merge.dfy|RerankMonotone|test|tests/test_hybrid_rrf.nim
key_encoding.dfy|LexLtAntisymmetric|support|-
key_encoding.dfy|LexLtTransitive|support|-
key_encoding.dfy|LexLtTotal|support|-
key_encoding.dfy|CmpAntisymmetric|support|-
key_encoding.dfy|CmpTransitive|support|-
key_encoding.dfy|CmpZeroMeansEqual|support|-
key_encoding.dfy|CmpStrictTrans|support|-
key_encoding.dfy|NumCodecRoundTrip|support|-
key_encoding.dfy|StrBodyNoZero|support|-
key_encoding.dfy|DecodeSubsRoundTrip|support|-
key_encoding.dfy|EncodeDecodeRoundTrip|test|tests/test_encoding_roundtrip.nim
numeric_encoding.dfy|FieldMonotonic|support|-
numeric_encoding.dfy|EncodeOrderPreserving|support|-
numeric_encoding.dfy|NumericRoundTrip|test|tests/test_encoding_roundtrip.nim
order_pairs.dfy|BackwardFromEmptyIsNothing|support|-
order_pairs.dfy|TupCmpHeadNeq|support|-
order_pairs.dfy|TupCmpCommonPrefix|support|-
order_pairs.dfy|CandidateOrderImpliesTupleOrder|test|tests/test_order_lmdb.sh
pattern.dfy|MatchAltConsumesAll|test|tests/test_pattern.nim
pattern.dfy|MatchFromAlt|test|tests/test_pattern.nim
scope_stack.dfy|PopPush|contract|globals.nim
scope_stack.dfy|PopUnderflow|contract|globals.nim
